user_id,tutor_ldap,issue_id,bind_time
17670293,wuchenxiwh01,846,2026-04-25 11:43:47.030
52079800,xiangwenfengwh,846,2026-04-25 11:54:32.229
110007334,zhuyongyang,846,2026-04-23 14:27:04.787
125723762,xiangwenfengwh,846,2026-04-25 17:09:54.430
129357108,zhuyongyang,846,2026-04-23 07:55:23.516
137009954,caomingwei,846,2026-04-23 07:53:50.916
142054524,caomingwei,846,2026-04-23 11:50:03.618
150424454,majunwh02,846,2026-04-23 11:50:06.870
171802554,huangjunjun,846,2026-04-25 14:20:18.047
172035256,gongfanwei,846,2026-04-25 15:34:44.367
176542952,songjiayiwh01,846,2026-04-28 07:11:23.039
193184572,zhuyongyang,846,2026-04-25 18:29:59.471
195370390,songjiayiwh01,846,2026-04-25 08:10:05.988
196651332,gongfanwei,846,2026-04-25 04:23:44.870
209303842,xiangwenfengwh,846,2026-04-25 13:13:31.834
210903464,huangjunjun,846,2026-04-28 06:02:01.581
215114892,songjiayiwh01,846,2026-04-28 07:24:04.842
216033342,wuchenxiwh01,846,2026-04-25 14:00:48.500
234424148,wanjiajunwh,846,2026-04-25 10:22:08.625
246966168,zhangxinwh22,846,2026-04-23 14:12:01.868
248010424,zhangxinwh22,846,2026-04-23 16:38:55.760
248921740,wangqianniwh,846,2026-04-25 11:34:03.047
249524374,huangjunjun,846,2026-04-25 08:41:22.337
256190562,zhuyongyang,846,2026-04-23 11:50:03.005
258904600,wangqianniwh,846,2026-04-23 03:06:38.304
269711868,zhangxinwh22,846,2026-04-25 17:50:54.406
275319130,zhangxinwh22,846,2026-04-23 17:50:30.197
284748580,songjiayiwh01,846,2026-04-25 10:28:00.339
293063992,songjiayiwh01,846,2026-04-25 12:39:52.664
319012714,xiangwenfengwh,846,2026-04-26 21:58:55.613
330422054,chenpengwh04,846,2026-04-25 17:01:24.107
336928250,caomingwei,846,2026-04-25 14:23:04.907
347541372,zhuyongyang,846,2026-04-25 08:47:06.663
353729070,wanjiajunwh,846,2026-04-23 07:19:04.206
357868118,zhangzhenghanwh,846,2026-04-23 12:37:30.046
361411870,caomingwei,846,2026-04-25 19:29:38.433
371511604,majunwh02,846,2026-04-23 11:50:06.847
388833132,zhangzhenghanwh,846,2026-04-23 16:24:45.564
396632628,zhangzhenghanwh,846,2026-04-23 11:50:05.020
399512288,gongfanwei,846,2026-04-23 11:50:03.683
399536150,zhangzhenghanwh,846,2026-04-23 06:54:25.363
402034126,zhuyongyang,846,2026-04-23 13:09:19.665
407131178,gongfanwei,846,2026-04-28 15:01:42.331
413171682,zhuyongyang,846,2026-04-23 15:21:14.467
414981646,xiangwenfengwh,846,2026-04-25 15:58:54.863
424024652,xiangwenfengwh,846,2026-04-23 09:03:04.232
425762368,xiangwenfengwh,846,2026-04-28 11:48:57.605
457649164,caomingwei,846,2026-04-23 07:15:22.475
459930978,chenpengwh04,846,2026-04-23 19:15:15.002
482164132,gongfanwei,846,2026-04-25 08:33:15.096
483399300,gongfanwei,846,2026-04-28 09:24:30.217
486035104,zhuyongyang,846,2026-04-23 11:50:03.088
488070418,gongfanwei,846,2026-04-23 11:50:03.754
489027958,wangqianniwh,846,2026-04-25 10:56:35.660
491189508,majunwh02,846,2026-04-25 12:31:23.343
495535798,xiangwenfengwh,846,2026-04-25 21:01:52.566
495948014,caomingwei,846,2026-04-25 09:32:38.501
496014034,gongfanwei,846,2026-04-28 16:04:30.009
508127452,gongfanwei,846,2026-04-28 12:57:26.220
509053134,majunwh02,846,2026-04-25 21:39:43.101
511529965,songjiayiwh01,846,2026-04-28 08:25:30.808
519386322,wanjiajunwh,846,2026-04-25 16:40:32.020
522985723,gongfanwei,846,2026-04-26 23:53:40.701
523031449,zhangzhenghanwh,846,2026-04-25 11:47:31.843
526270467,wanjiajunwh,846,2026-04-25 12:14:46.465
527772496,zhangzhenghanwh,846,2026-04-23 11:50:06.502
528129851,zhuyongyang,846,2026-04-25 07:55:22.771
532071391,gongfanwei,846,2026-04-25 09:41:20.423
540659281,gongfanwei,846,2026-04-23 09:18:02.320
545087946,songjiayiwh01,846,2026-04-23 07:11:28.992
551011827,wanjiajunwh,846,2026-04-25 18:13:55.033
562462324,xiangwenfengwh,846,2026-04-23 11:50:03.608
598096420,wuchenxiwh01,846,2026-04-23 18:56:52.727
617137741,wuchenxiwh01,846,2026-04-25 17:26:47.079
646214914,zhangxinwh22,846,2026-04-25 10:33:04.761
646790778,songjiayiwh01,846,2026-04-23 09:11:21.984
653467298,wuchenxiwh01,846,2026-04-23 18:19:57.226
675133622,majunwh02,846,2026-04-23 11:50:03.600
678182387,xiangwenfengwh,846,2026-04-23 19:29:03.171
681468742,xiangwenfengwh,846,2026-04-28 07:07:13.223
692165862,gongfanwei,846,2026-04-23 11:50:06.976
694908162,zhangxinwh22,846,2026-04-23 18:45:41.109
715080294,zhangxinwh22,846,2026-04-28 08:47:28.089
716737002,zhangxinwh22,846,2026-04-23 11:50:03.128
724183831,wanjiajunwh,846,2026-04-23 11:50:06.497
725749760,zhuyongyang,846,2026-04-25 07:36:11.815
732478202,wanjiajunwh,846,2026-04-26 22:51:00.018
741626278,wuchenxiwh01,846,2026-04-23 14:16:07.650
752869862,wanjiajunwh,846,2026-04-25 14:26:45.712
753034381,wangqianniwh,846,2026-04-25 08:39:50.220
763109088,zhangzhenghanwh,846,2026-04-25 15:48:35.912
784812537,chenpengwh04,846,2026-04-25 08:59:21.604
795230401,zhangxinwh22,846,2026-04-23 11:50:02.953
834773004,wanjiajunwh,846,2026-04-25 08:36:49.791
836426941,songjiayiwh01,846,2026-04-23 11:50:00.989
854128888,songjiayiwh01,846,2026-04-23 11:50:01.003
871495936,wuchenxiwh01,846,2026-04-25 10:35:03.119
927888531,songjiayiwh01,846,2026-04-28 08:24:26.209
959342037,majunwh02,846,2026-04-28 14:12:01.509
963061646,songjiayiwh01,846,2026-04-25 11:02:46.110
1004806028,majunwh02,846,2026-04-25 17:03:23.761
1020199856,xiangwenfengwh,846,2026-04-23 15:35:48.264
1067653370,xiangwenfengwh,846,2026-04-23 13:37:25.141
1073080688,majunwh02,846,2026-04-23 11:50:03.668
1080099300,zhangxinwh22,846,2026-04-23 11:50:03.021
1082146298,majunwh02,846,2026-04-23 12:12:14.599
1082739243,caomingwei,846,2026-04-23 11:50:06.859
1083247491,songjiayiwh01,846,2026-04-28 06:39:55.316
1093108458,wangqianniwh,846,2026-04-23 11:50:02.858
1110028066,chenpengwh04,846,2026-04-23 18:19:29.038
1119691474,huangjunjun,846,2026-04-25 21:25:25.909
1120227421,majunwh02,846,2026-04-23 18:25:51.325
1131058082,wuchenxiwh01,846,2026-04-23 11:50:02.845
1131664879,majunwh02,846,2026-04-25 19:55:57.405
1133250574,zhuyongyang,846,2026-04-23 11:50:02.832
1133313677,zhuyongyang,846,2026-04-23 11:50:02.866
1133321607,zhangxinwh22,846,2026-04-23 11:50:03.047
1133331146,wuchenxiwh01,846,2026-04-23 11:50:02.892
1133351251,songjiayiwh01,846,2026-04-23 08:03:23.794
1133356640,caomingwei,846,2026-04-23 11:50:06.951
1133357547,wangqianniwh,846,2026-04-23 12:59:16.677
1133369628,wanjiajunwh,846,2026-04-23 14:53:58.630
1133386496,wangqianniwh,846,2026-04-23 11:50:03.072
1133402432,huangjunjun,846,2026-04-25 07:02:12.375
1133454870,huangjunjun,846,2026-04-25 07:25:37.390
1133484115,wuchenxiwh01,846,2026-04-23 19:25:52.894
1133553997,wuchenxiwh01,846,2026-04-25 08:58:00.036
1133567425,songjiayiwh01,846,2026-04-25 06:43:32.416
1133573774,wangqianniwh,846,2026-04-25 09:13:36.666
1133574219,zhangzhenghanwh,846,2026-04-25 09:47:08.157
1133581397,songjiayiwh01,846,2026-04-25 08:43:22.232
1133615823,majunwh02,846,2026-04-25 15:33:10.495
1133619314,zhangzhenghanwh,846,2026-04-25 13:28:37.669
1133620128,wuchenxiwh01,846,2026-04-25 07:43:30.481
1133629814,xiangwenfengwh,846,2026-04-25 16:51:10.130
1133647713,chenpengwh04,846,2026-04-25 17:30:15.262
1133651911,gongfanwei,846,2026-04-25 19:27:01.477
1133658510,zhangxinwh22,846,2026-04-25 12:41:39.137
1133665013,wuchenxiwh01,846,2026-04-25 15:30:40.254
1133686284,chenpengwh04,846,2026-04-25 15:59:28.347
1133718237,wuchenxiwh01,846,2026-04-25 19:05:33.924
1133758074,gongfanwei,846,2026-04-25 21:28:38.190
1133953901,chenpengwh04,846,2026-04-28 07:04:16.544
1133996764,wuchenxiwh01,846,2026-04-28 04:03:01.819
1134007530,majunwh02,846,2026-04-28 15:57:00.500
1134052082,caomingwei,846,2026-04-28 13:29:53.569
76063610,zhujunyangwh,847,2026-04-25 06:04:59.969
124274434,genghongwei,847,2026-04-24 11:30:00.949
128260224,yangfengyingwh01,847,2026-04-24 17:54:38.401
136000664,dengyuanwh,847,2026-04-26 13:22:17.747
148943680,wuyuewh08,847,2026-04-26 17:52:00.699
153449866,dengyuanwh,847,2026-04-26 07:40:41.662
165233530,dengyuanwh,847,2026-04-26 19:17:58.208
167551994,dengyuanwh,847,2026-04-26 19:34:38.613
168928324,luchenwh02,847,2026-04-24 20:33:48.027
171723940,luchenwh02,847,2026-04-27 06:59:46.050
184589348,dengyuanwh,847,2026-04-26 00:20:53.582
189533480,yangfengyingwh01,847,2026-04-26 08:01:06.341
193960208,dengyuanwh,847,2026-04-24 11:30:00.242
205331818,wuyuewh08,847,2026-04-26 08:33:22.168
207195958,chenjingwh17,847,2026-04-24 11:30:01.817
211257856,zhujunyangwh,847,2026-04-25 09:24:13.830
211452936,dengyuanwh,847,2026-04-26 16:00:09.547
212904334,leibinwh,847,2026-04-24 20:10:22.786
214873668,dengyuanwh,847,2026-04-24 11:30:00.295
215463848,luchenwh02,847,2026-04-26 12:45:02.605
224426046,genghongwei,847,2026-04-24 11:30:00.816
225566744,wuyuewh08,847,2026-04-24 11:30:00.949
230498454,ningjie,847,2026-04-26 16:19:43.030
233855612,zhujunyangwh,847,2026-04-25 12:45:08.332
243058172,genghongwei,847,2026-04-26 09:40:24.520
246783432,leibinwh,847,2026-04-26 05:29:39.777
251077254,dengyuanwh,847,2026-04-26 10:09:49.258
263241102,huxuhuwh,847,2026-04-26 09:58:25.030
264034478,zhuyuqiong,847,2026-04-26 11:03:54.274
265219818,yangfengyingwh01,847,2026-04-26 17:00:42.571
279406348,zhuyuqiong,847,2026-04-26 00:12:39.600
284691358,leibinwh,847,2026-04-24 05:34:52.511
286298740,luchenwh02,847,2026-04-24 17:41:56.574
287901324,zhuyuqiong,847,2026-04-26 14:01:32.430
292020798,chenjingwh17,847,2026-04-27 11:33:57.240
300447758,yuzhijunwh,847,2026-04-26 16:00:34.083
